,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_glcm_Idm,0.26294432068437956,0.6625402268508737,-1.3332507155340403,0.024672630553518936,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.23252894657891332,0.8251661838228671,-1.8272743766635378,0.008338894454215207,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.7370556793156151,0.33745977314911924,1.127058072661496,0.02467263055351846,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformity,0.7671842650103522,0.22431159420289823,1.774068938630645,0.016018862040098208,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.21979496312901936,0.6359208750268941,-1.5326889426294958,0.020074066829327823,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.7370556793156151,0.33745977314911924,1.127058072661496,0.02467263055351846,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.26294432068437956,0.6625402268508737,-1.3332507155340403,0.024672630553518936,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.7116755665267771,0.2343193760403551,1.6027434491098622,0.01772291680837968,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.7671842650103522,0.22431159420289823,1.774068938630645,0.01601886204009838,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.17693201692399807,0.6107125633509305,-1.7872983879810591,0.018211382932233927,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idmn,0.262944320684376,0.6625402268508935,-1.333250715534103,0.024672630553510856,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idn,0.2629443206843973,0.6625402268508964,-1.3332507155339923,0.02467263055351661,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.7370556793156151,0.33745977314911924,1.127058072661496,0.02467263055351846,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.24980600103466166,0.6790584583548871,-1.4427276427259963,0.017656683468398004,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.7454482146108843,0.3423205996861746,1.1227600222767073,0.023408301945002236,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.7370704855645784,0.287182376133034,1.3598353736207573,0.015120999610688097,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.7226301597332947,0.2400662751947344,1.5898247221978348,0.01720211275709273,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.7399713467048707,0.34068767908309566,1.1190196340067606,0.024322043864009123,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceVariance,0.15536956390960133,0.7267791753942989,-2.225813167262195,0.016806346955462896,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.17503669547893708,0.6076889640462866,-1.795675685180762,0.018670073382388585,0.10732594290780738,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.2689389773796691,0.6699203399598105,-1.316710694861239,0.0317300124570649,0.13145290875069746,r_amygdala,male_P45_nrxn,male_P45_control
