,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_10Percentile,0.7002519304996744,0.333530701755942,1.0700544869166642,0.10613502033474906,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.31554175720806077,0.6873612722624755,-1.1232376319338513,0.15601664025552156,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.630356970121777,0.2820964051765885,1.1599807744497632,0.18611403639128882,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.6340092258961585,0.35605775921033145,0.8323925419235778,0.1644552918572232,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.3084044256865983,0.675556298442937,-1.1312525351357727,0.15810140701422942,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.6340092258961585,0.35605775921033,0.8323925419235838,0.16445529185722074,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.38862903102804935,0.7797364282495216,-1.0045928610008665,0.13906229298214426,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.6321017754708114,0.28434173658033934,1.1525309892728033,0.18394686407451533,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.7686904606928904,0.402838811526464,0.932200078424556,0.11190713239286043,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.3084131891231296,0.6203005108410486,-1.008102850379492,0.22101145523122348,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.24464089702483877,0.5797187362854,-1.244687511960489,0.16005421932856118,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.37595906270655544,0.7283480003160164,-0.9540523474050698,0.18854123973411088,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.6086781024383012,0.2481587600731802,1.2944160818557076,0.17379343939198671,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.6258690451921806,0.26639100763512,1.2323154406677874,0.16520506518917308,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.630979827089337,0.2838616714697402,1.1524058201089142,0.185431977627104,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.7033106776466715,0.35236786896476036,0.9970797438461371,0.13392925774298708,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.6561943205778733,0.29811485216119227,1.1382548546821913,0.16917788403621406,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.7358458660360085,0.39013884426471507,0.9154159560108039,0.1258770945045341,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.38621377185703354,0.7036385492530346,-0.8654349141281515,0.22055205574666412,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.5962994591517222,0.2918550147072776,1.030785171138688,0.22867280312933183,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.5962994591517223,0.29185501470727787,1.0307851711386868,0.22867280312933208,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.40568162502125205,0.15463199048104742,1.3915091415743075,0.22964158536512502,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.5943183749787373,0.8453680095189441,-0.5083435323224698,0.2296415853651121,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.628698224852072,0.352662721893493,0.8340786054502596,0.16371297179101063,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.37939597686837645,0.7243998044695313,-0.933081776446104,0.2081028362274957,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.2650547789159805,0.6442028439247611,-1.2812244771977783,0.12373302813226805,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.3713017751479284,0.6473372781065088,-0.8019253739544244,0.16371297179100813,0.3675632166687841,r_amygdala,male_P45_nrxn,male_P45_control
