,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glcm_MCC,0.34566918947882064,0.7532989252168679,-1.1238304533019126,0.0942340636469121,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.7426621531254349,0.414950582343522,0.8397665268741294,0.16063336610651685,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.24654260782341691,0.5745273430101188,-1.2205385588729312,0.16482267273975654,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.2573378468745655,0.5850494176564783,-1.1848948397311658,0.16063336610651674,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.2573378468745655,0.5850494176564783,-1.1848948397311658,0.16063336610651674,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idmn,0.2573378468745666,0.6532946992177596,-1.3440702829291624,0.12546142252337172,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.2573378468745664,0.6191720584371188,-1.266676717077849,0.13622940016483995,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc1,0.6982897802740015,0.29686110868645255,1.234037758043953,0.14156325665069044,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc2,0.3548000248943,0.7452809195691656,-1.070778213875434,0.10255016132094645,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.6895128514575741,0.34599676134792723,0.9948189078140887,0.13603940912720364,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.7426621531254349,0.414950582343522,0.8397665268741294,0.16063336610651685,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.06149690631197176,0.38699594978633983,-2.6537327269280477,0.1491327628765752,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_DependenceVariance,0.3396531969726055,0.7610125159819529,-1.1638577476266618,0.11205741769885838,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunEmphasis,0.7373089796442279,0.4401687174478658,0.7442127102595094,0.17037495768168195,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZonePercentage,0.12499999999999997,0.4999999999999999,-2.0,0.1176455559614467,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunPercentage,0.7421662468513854,0.4147909319899246,0.8393580350532998,0.16101132673820776,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.7179747315285804,0.3726426766660999,0.9461401631189343,0.15060654691683883,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneEntropy,0.22021878900384673,0.6212326609166254,-1.49619611602375,0.1424543571056739,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.7249450195557446,0.41175433056755617,0.8160877606915427,0.1636684175689429,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.7524213430815024,0.40923561861657126,0.8786090544210209,0.1122045426436964,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Contrast,0.7426621531254349,0.414950582343522,0.8397665268741294,0.16063336610651685,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Correlation,0.34566918947882064,0.7531890699236429,-1.123620046464894,0.09426051370949712,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformity,0.0625,0.5135714285714286,-3.038636848606969,0.05869529637038268,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_90Percentile,0.25885393676645513,0.6693733557071774,-1.3706728664188907,0.077969483513615,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Energy,0.11851789662077125,0.4298812148497292,-1.8588331405189016,0.1624124823779702,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaEmphasis,0.21964794709686775,0.6612378885796252,-1.5899763770742377,0.12765378529445814,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_InterquartileRange,0.21307556219288615,0.6047232590956931,-1.5049099307840805,0.16154678918236,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Kurtosis,0.4645934128210323,0.04450630485637724,3.383887068351701,0.1024886998903346,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Maximum,0.1219479458738134,0.46662002996599455,-1.9359827800976273,0.1188399912451799,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.27663141282766984,0.7062644570370051,-1.3522435035309937,0.07960075935585269,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Mean,0.1739521414927657,0.5009519504138468,-1.5259817918957825,0.15021593693324994,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.4047600868680763,0.8243927428453013,-1.0262647710285921,0.043839083952164376,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Minimum,0.809227779336753,0.4575941277170979,0.8224773076760693,0.07131285458062529,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.29951915780518157,0.6793254585362641,-1.1814546384895253,0.12875181388039336,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.24194146528331217,0.6698040719738467,-1.4690810990560492,0.11079277514765988,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_RootMeanSquared,0.22576549539754762,0.5950765882988036,-1.3982503495616274,0.0968595096953161,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Skewness,0.5546119239514304,0.11233758199126198,2.303637979027317,0.08962520657199627,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_TotalEnergy,0.11851789662077127,0.4298812148497292,-1.8588331405189014,0.1624124823779702,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.6325430547524252,0.2455876771246496,1.3649255095219552,0.17047759480610228,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Variance,0.18333929969870652,0.5747533612929315,-1.6484269302411778,0.09252736130316104,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.6608560146427547,0.27767365494904234,1.2509456718410383,0.16298916737150948,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaEmphasis,0.6817759849352348,0.2652640737075388,1.3618684864658976,0.1618250184754326,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_firstorder_Range,0.12912975878394825,0.48407176661018464,-1.9063994344315491,0.10860777270111342,0.3488843800683023,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.13043478260869562,0.43734989648033123,-1.7454593127967977,0.17789655432628035,0.3557931086525607,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.24245139596683588,0.5489040461045336,-1.1788584134161046,0.1936124396223983,0.3786198819282456,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.7256321859648756,0.46564188810478324,0.6400176034069934,0.24165710484394734,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunVariance,0.1750518503656016,0.46209385322603547,-1.4004035872076184,0.2348334957754338,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_HighGrayLevelEmphasis,0.2536194415718719,0.5207169941399518,-1.0378341497178631,0.25220095774472834,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.2472400136338943,0.5998915558574555,-1.2787894743964663,0.2025385402407704,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceEntropy,0.8309072329159644,0.5544724362197606,0.5835716722109872,0.2372457872956726,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Autocorrelation,0.24787776347458906,0.526474913633064,-1.086735932432077,0.23441144892791302,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LowGrayLevelEmphasis,0.746380558428128,0.47958941361216423,0.6381115943860187,0.2526637983911214,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.24645471945470665,0.5176095589862413,-1.070541652648426,0.24814035617339358,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.2498388536985008,0.5384680686079824,-1.1078629396933697,0.21692849268071854,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_ClusterShade,0.6434035976211221,0.3314079622966263,0.9571157382263132,0.22265403155136168,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.24645471945470687,0.5176095589862412,-1.0705416526484244,0.24814035617339475,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceVariance,0.8188740186694539,0.5337776568293268,0.617402597010931,0.22710690328382221,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.17535388210609332,0.46616394623464386,-1.410568058418871,0.20978407635421384,0.38335196997273596,r_amygdala,male_P45_nrxn,male_P45_control
