,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_90Percentile,0.2242053554558371,0.7841223960667214,-1.806258127279504,0.010566131279527309,0.053349629465936535,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.25789631034542504,0.8081862080683189,-1.6478965987059153,0.011070264119011101,0.053349629465936535,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.13798932253672738,0.726948773212529,-2.397297066418878,0.0114320634569864,0.053349629465936535,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.09073833380986482,0.6548425693207799,-2.8513640366328077,0.03494779574584427,0.06115864255522748,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.13491723744292242,0.6883057600127218,-2.3509748998054625,0.032122043367645244,0.06115864255522748,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.12927891258269417,0.663099082296284,-2.358737490196945,0.02422079551744351,0.06115864255522748,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.20819052225057302,0.7458658141780091,-1.8410117118625466,0.020562367820389216,0.06115864255522748,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.09073833380986485,0.6548425693207799,-2.851364036632807,0.03494779574584427,0.06115864255522748,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.10008858842565672,0.5372283240946324,-2.4242578744085166,0.04494837066052074,0.06991968769414336,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.12603795832662598,0.5684583627362344,-2.1731963918234998,0.09366280332738253,0.1192072042348505,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.12603795832662598,0.5684583627362344,-2.1731963918234998,0.09366280332738253,0.1192072042348505,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.0,0.3937436182677431,-inf,0.193088374811368,0.2252697706132627,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.49521341619578463,0.191687538364921,1.3692938499706981,0.22466653415077853,0.24194857523929994,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
original_firstorder_Kurtosis,0.4275482556494906,0.16362721272000344,1.3856745585942045,0.27952923729067564,0.27952923729067564,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
