,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHH_glrlm_ShortRunEmphasis,0.8417592297358567,0.18157761719988344,2.212821260288327,0.0004985135095416189,0.043370675330120845,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_firstorder_10Percentile,0.646407187071638,0.11625186702738297,2.475189352401752,0.021407099889552327,0.13145158061309442,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,0.2114132964869424,0.7674252739469317,-1.8599601631457148,0.023028010555093792,0.13145158061309442,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glrlm_LongRunEmphasis,0.28748414578309056,0.8425735453346987,-1.5513202233603527,0.0154121821855945,0.13145158061309442,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEntropy,0.749036513783917,0.2172993182796546,1.78535239997416,0.02852055437083076,0.13145158061309442,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_JointEnergy,0.2514312226218909,0.7833908653728144,-1.6395684918918259,0.02835043738170675,0.13145158061309442,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc2,0.29078753323918316,0.8316683515011292,-1.516042913636311,0.02082245281046582,0.13145158061309442,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_Imc1,0.7630366815892677,0.21828385802972966,1.805546965870634,0.024020957663728713,0.13145158061309442,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceVariance,0.7628669064562086,0.21767274633104422,1.8092705927682915,0.023800301346725353,0.13145158061309442,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHH_glcm_DifferenceEntropy,0.7637207573853999,0.21860779244283607,1.8047004077737623,0.023852856352363692,0.13145158061309442,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
