,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HHL_firstorder_10Percentile,0.6638169906601937,0.16731300458114315,1.9882359715027076,0.02090835364750363,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.7045143579135829,0.2622002179715167,1.425960223879957,0.012128960886081048,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_TotalEnergy,0.2406615696885047,0.7688361752605555,-1.6756704375238554,0.015118239628651874,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunEmphasis,0.20153718514033647,0.6515094534057578,-1.6927400609599637,0.014636775900573693,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RootMeanSquared,0.328135937450569,0.8400379553032631,-1.356160907945954,0.015937191263260136,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_RobustMeanAbsoluteDeviation,0.2771559459280188,0.8046716682821025,-1.5377022790563928,0.02184746087760466,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis,0.01886408349997648,0.5500829594655808,-4.865935297197116,0.01844281775578591,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Variance,0.2406590126029514,0.7688249533053282,-1.675664708805501,0.015118216551775079,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunEntropy,0.2142076039726284,0.655895698274368,-1.6144567191009802,0.02351137123605083,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_MeanAbsoluteDeviation,0.3211607919392835,0.8424984549980007,-1.3913782646140946,0.01830918562514588,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunVariance,0.18538016785567413,0.6022890862932556,-1.6999692056270155,0.02254120982943776,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_ShortRunEmphasis,0.748179405386793,0.2638223934697848,1.503817227401579,0.015631952115744537,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_InterquartileRange,0.2585563185624881,0.7893027334107549,-1.6101001837597393,0.02388408221476571,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_Energy,0.24066156968850466,0.7688361752605555,-1.6756704375238556,0.015118239628651855,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_firstorder_90Percentile,0.3389496300097776,0.8629856213305231,-1.3482656261090882,0.0165999387970056,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.7559326213548694,0.30120331864060007,1.3275199826164126,0.02022155428782193,0.1313624521812114,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_gldm_DependenceEntropy,0.19467190006694146,0.6327014721841338,-1.7004802996122332,0.02651473679693018,0.13725275518410918,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,0.3330654932184707,0.7230430889734656,-1.1182757322282868,0.03186451798968732,0.1402038791546242,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
