,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.14731418932648005,0.8480343646881942,-2.525226330264077,0.00032232430620056374,0.02836453894564961,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_10Percentile,0.7403226953594266,0.2142802710195541,1.7886552306973365,0.019850727533170055,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Contrast,0.7467468310037678,0.26774144688864193,1.4797787219111753,0.01600932007375692,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Correlation,0.2425155998158413,0.7348026507304827,-1.5992792792009896,0.012957459065050674,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.10907905135857826,0.5750463697922855,-2.3983042362370597,0.01964110336915654,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Id,0.2532531689962325,0.7322585531113589,-1.5317728177277237,0.016009320073756567,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idm,0.2532531689962325,0.7322585531113589,-1.5317728177277237,0.016009320073756567,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idmn,0.2532531689962294,0.7322585531113575,-1.5317728177277385,0.016009320073755752,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.2532531689962294,0.7322585531113553,-1.5317728177277343,0.016009320073756703,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.7467468310037678,0.26774144688864193,1.4797787219111753,0.01600932007375692,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.8289489432608683,0.35116354136180944,1.2391401771820552,0.01575711914610099,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumEntropy,0.26810504612683594,0.8269907481830089,-1.6250728163891959,0.0020216883904824825,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunVariance,0.18179117133046904,0.6478415198457708,-1.8333587958177668,0.019952345931083155,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.7478312359313044,0.26819610299224317,1.4794244575380402,0.015965933518376742,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.7471511104044093,0.26790692743944433,1.4796681695004223,0.015987108009395744,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.7446920403472923,0.26807400869399983,1.474012588785582,0.01663571035688374,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.7340002108203211,0.25855172755268285,1.5053275330011542,0.015057534805224954,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.1899447378205194,0.6740823923917529,-1.827345196794174,0.01951005950458145,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.7712215090445009,0.28061015365437497,1.4585780756181927,0.019200683479506236,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterTendency,0.2296960399323429,0.7399824730433293,-1.6877651158045393,0.009687810889391423,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceAverage,0.7467468310037678,0.26774144688864193,1.4797787219111753,0.01600932007375692,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterProminence,0.23519894426150878,0.7324054321610213,-1.6387609071091234,0.012066155418338623,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.22371738945040673,0.7141962718130762,-1.674643202127566,0.017270703709364912,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.09919756073316571,0.5778295896054921,-2.5422675332840163,0.012580663700520342,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.2421288785838076,0.724303971764781,-1.5808201273521598,0.01459569948347163,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.2544859998857194,0.7717823187609331,-1.6006077015926143,0.009406868902643943,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.6651349511157748,0.1512607915206429,2.1366090093842427,0.014840695393719436,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.6651349511157749,0.1512607915206429,2.136609009384243,0.014840695393719452,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.2429079496813369,0.7331357107978567,-1.5936705744278108,0.013212189205002252,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.27932897793078126,0.8356289530778003,-1.5808972317893697,0.005413082598744612,0.05852688139784393,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,0.19175084628516575,0.7222049728592239,-1.913175409208253,0.021129279373673544,0.059140791693829506,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.17571231649298746,0.71689816303084,-2.0285528753695177,0.022849851336252308,0.059140791693829506,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.2402715639892741,0.7175142732993123,-1.5783416147933889,0.0221594926364688,0.059140791693829506,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaEmphasis,0.37121212263924547,0.8603238816505121,-1.2126360607707605,0.022783743429924265,0.059140791693829506,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.8170008995302577,0.3188284010330557,1.3575575173828869,0.025736241317380962,0.06470826388370071,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceVariance,0.8092377403105608,0.3196067689861902,1.3402656406546625,0.02789717353722859,0.06635003435881394,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_DifferenceEntropy,0.8126976449192629,0.3215292803941271,1.3377685895034064,0.02769920669621315,0.06635003435881394,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.6891599519818501,0.1858445694455641,1.8907423351366979,0.036187099008000115,0.08183559499312483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceEmphasis,0.664890676434795,0.23482697469275032,1.5015190062615547,0.036268047781043956,0.08183559499312483,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.22195476597089142,0.6694097082459824,-1.5926237865732709,0.039533037087344486,0.08425968794824618,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_RootMeanSquared,0.28433828399151173,0.6846686882079046,-1.2677976754763864,0.04212984397412309,0.08425968794824618,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.22629982769013224,0.6692833179061927,-1.5643815690268181,0.04144976753240023,0.08425968794824618,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.28695202511449225,0.7503173605162485,-1.3866913830627645,0.03954775325965687,0.08425968794824618,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.7622659234025622,0.19128332224656988,1.9945832904271963,0.04044396903038379,0.08425968794824618,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneEntropy,0.18183884026544583,0.6999784674421887,-1.9446501548708255,0.043816661804863946,0.0856859164184006,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Minimum,0.6548027000336405,0.24140384589744768,1.4396116102723524,0.0469128088051792,0.08974624293164717,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaEmphasis,0.7705334193851783,0.19481755016346836,1.983733881671578,0.04813370267733526,0.09012267735330858,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_TotalEnergy,0.1558945052143802,0.5578220545918016,-1.83923489676023,0.05216222201832187,0.0918055107522465,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.1558945052143802,0.5578220545918015,-1.8392348967602299,0.05216222201832187,0.0918055107522465,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Variance,0.15604903145113236,0.5595796512688722,-1.8423440979228594,0.05143267465187122,0.0918055107522465,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.8597052991810965,0.42280563063026777,1.0238476093779432,0.056502763649473126,0.09749496472850264,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.756963398252207,0.33290747492880185,1.1851022783437584,0.059630165013039325,0.09952815398620957,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.7323855197254177,0.18691231943621495,1.970241606744886,0.059943092741694404,0.09952815398620957,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEnergy,0.2524194944489482,0.6651868203336033,-1.3979362496141063,0.06735693806853144,0.10976686203760679,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformity,0.16666666666666663,0.6272727272727273,-1.9121272439746662,0.0725453240466296,0.11607251847460735,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.784313725490196,0.411764705882353,0.9296106721086016,0.08238979669343131,0.1271982826144203,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.21568627450980404,0.5882352941176473,-1.4474589769712212,0.08238979669343117,0.1271982826144203,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZonePercentage,0.1875,0.65,-1.7935491225325737,0.09168509349784161,0.13910841772086313,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Kurtosis,0.39923573756997566,0.016059467881919687,4.635744873068028,0.10699239600294655,0.15958187878405589,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformity,0.19642857142857142,0.64,-1.7040671136455823,0.11708088634105103,0.1717186333002082,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.4086318279473301,0.7577362318189644,-0.8908941546599783,0.1325567589997559,0.19122942281931998,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.8462092073892844,0.5352444075505083,0.6608165665513385,0.14899668915430528,0.20812235945363275,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.8462092073892844,0.5352444075505076,0.6608165665513402,0.14899668915430372,0.20812235945363275,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.13311688311688474,0.444897959183675,-1.7407809218511607,0.1584491233739759,0.21451573626015358,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.8668831168831157,0.5551020408163261,0.643084488744883,0.15844912337397707,0.21451573626015358,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Skewness,0.5044729731371395,0.16428142046651545,1.6186076529968538,0.20185896960548133,0.2691452928073084,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_ClusterShade,0.18871611183020287,0.4352966752947812,-1.2057814014093557,0.2565175260280897,0.33196385721282196,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.4988537830097197,0.24815020243634897,1.0074033835249399,0.2543863182869126,0.33196385721282196,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelVariance,0.36686202030412574,0.6189203420531385,-0.7545161836660115,0.28665888351709334,0.3503608576320383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Uniformity,0.6331379796958387,0.3810796579468331,0.732427341237569,0.2866588835171199,0.3503608576320383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Entropy,0.3670366652955508,0.6191140008073888,-0.7542808961880197,0.286593145336829,0.3503608576320383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_GrayLevelNonUniformity,0.6331379796958458,0.38107965794684445,0.732427341237542,0.28665888351712226,0.3503608576320383,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MaximumProbability,0.38211574686003313,0.6254715887832892,-0.7109346414794324,0.31232326658359794,0.36645929945808825,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumSquares,0.425615108614366,0.6564160931693209,-0.6250612444602913,0.3093766731814261,0.36645929945808825,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_ZoneVariance,0.6226464799528972,0.3771549527305267,0.7232559053469196,0.3089295541949393,0.36645929945808825,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Range,0.2875941161015001,0.5795443889942902,-1.010885005754043,0.3182220350648148,0.3684676195487329,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Autocorrelation,0.740379210286179,0.5202833950682489,0.5089667209670732,0.3250381767946572,0.37147220205103676,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.44444444444444464,0.25950413223140495,0.7762455818280183,0.42801092329431534,0.4767716613911361,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.5555555555555554,0.7404958677685952,-0.414560496450598,0.428010923294315,0.4767716613911361,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.6425812315382868,0.4882208588957056,0.39634490872691747,0.5477675964497757,0.6025443560947533,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.431997912740391,0.5696550092572583,-0.3990641263796586,0.5818120639178425,0.6320921188243227,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.5739589335832491,0.4637016440236607,0.307750674928648,0.6143480474694322,0.6513569659916871,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.4260410664167438,0.5362983559763365,-0.33204333117707857,0.6143480474694194,0.6513569659916871,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.3206226483590648,0.45957352837491133,-0.5194193613886924,0.6401292289842375,0.6706115732215822,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
