,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLH_firstorder_10Percentile,0.7411581241795426,0.31392104721837166,1.2393796112395663,0.0578932327235699,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idmn,0.33797087335067566,0.7947914602791911,-1.2336774524391678,0.056325701537270394,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idn,0.33797087335068543,0.7947914602792011,-1.2336774524391443,0.056325701537269776,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Imc1,0.7676327617849253,0.26863826572352156,1.514751463944528,0.059638339158852714,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_InverseVariance,0.6620291266493175,0.20520853972080194,1.68980392155508,0.05632570153727052,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_SumEntropy,0.15453641782320027,0.6777568798540244,-2.1328209912441523,0.001817576285615328,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_GrayLevelNonUniformity,0.6638867178798566,0.205301451961458,1.6931932580062734,0.05504118717599599,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunEmphasis,0.2727289420001297,0.7656493871600298,-1.4892160846832314,0.055925179537946866,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,0.15357605581374462,0.7010551200823164,-2.1905745781571007,0.02124090612504236,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunEntropy,0.3080460456169558,0.7846733634260206,-1.3489462112965633,0.04105288407837301,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformity,0.6522318263887836,0.2072950165710398,1.6536994066579265,0.05320437320999291,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.6646318494266896,0.2061817297779319,1.6886389312650198,0.05362276991044014,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunPercentage,0.6624274601802687,0.20424743795530312,1.6974444977998988,0.055913299238829206,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_RunVariance,0.27810153373002,0.767313840175704,-1.464205076111353,0.05887991848663777,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunEmphasis,0.6969972078533229,0.18598183396643897,1.9059911657428164,0.0456783685056119,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.8009910253544168,0.2834076817974961,1.4989072149537552,0.021162557713708077,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformity,0.30757575757575756,0.7436363636363635,-1.2736555215903662,0.061728140448375324,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.13271604938271608,0.527538422776518,-1.990933328310074,0.037389261848510345,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_GrayLevelVariance,0.8672839506172838,0.4724615772234818,0.876307404801249,0.03738926184851025,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.7734408602150536,0.30893189964157697,1.3240021345363158,0.024869178684938452,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_DependenceEntropy,0.31420418772425585,0.7847813018397382,-1.3205882593368192,0.022270614163604575,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceEmphasis,0.3361566342482639,0.7847142470612991,-1.2230337713398505,0.060706189377789314,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.10137312567775791,0.6101622796390692,-2.5895177547520425,0.010470271346039,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceEmphasis,0.7236542771688002,0.19335264663043147,1.90406610801136,0.05392951336203463,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Idm,0.33797087335068365,0.794791460279199,-1.233677452439148,0.05632570153726965,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Id,0.33797087335068365,0.794791460279199,-1.233677452439148,0.05632570153726965,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.8377866634393119,0.29949608632429425,1.484045767740625,0.024636880137603137,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_RobustMeanAbsoluteDeviation,0.20241590888057304,0.6761691931473526,-1.7400616041751966,0.041521364474899715,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_DifferenceAverage,0.6620291266493175,0.20520853972080194,1.68980392155508,0.05632570153727052,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Correlation,0.2981460229983091,0.7804610327900798,-1.388307509846657,0.034715946806145905,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_Contrast,0.6620291266493175,0.20520853972080194,1.68980392155508,0.05632570153727052,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_glcm_ClusterTendency,0.24547770937942714,0.7587902158820279,-1.628109049769528,0.016697903750736105,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLH_firstorder_InterquartileRange,0.18332569638613538,0.677537099817771,-1.885890926458185,0.03951890474076666,0.14294937788044812,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
