,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glcm_MaximumProbability,0.14308288825235316,0.6961565586593936,-2.282560644480419,0.015517665171316026,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Id,0.131471681387759,0.6896620955740145,-2.391137596461947,0.014078778999094281,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idm,0.13149154660021667,0.6897046567282171,-2.3910086538189126,0.014078243659591176,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idmn,0.10862279740350544,0.7168202076248612,-2.7222843853564016,0.01608703110474669,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.1174608799748118,0.7062832713320155,-2.58806657481961,0.014405690024697972,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Imc1,0.8061172902920528,0.3048102917123294,1.4030781512882622,0.013803359354383751,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.8686089593527091,0.3105106769547171,1.4840639571115906,0.014080972628875973,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MCC,0.13417822856453016,0.6793067055536266,-2.3399124930355155,0.017295663726097706,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_DifferenceAverage,0.8684786443225101,0.31023147741899326,1.4851452980136042,0.014077444085405401,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.15006334452750036,0.7034356168076694,-2.2288467665947227,0.016174178685021554,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_ZoneEntropy,0.2391916504516764,0.690694096727855,-1.5298798634321407,0.015252788678941276,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_gldm_LargeDependenceEmphasis,0.12201075787890064,0.6840810921893417,-2.487158996815254,0.013632937282511692,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunEntropy,0.1375370711829692,0.7033476571821184,-2.3544174450307795,0.014231757046937523,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_RunLengthNonUniformity,0.7944309266199188,0.24819591731502838,1.6784424028999094,0.013594535478397379,0.057621834977172166,r_globus_pallidus_caudate_putamen,male_P45_nrxn,male_P45_control
