,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
original_firstorder_Kurtosis,0.6965117524610525,0.24412026808842854,1.5125556162111928,0.03210356389051177,0.2672005144510941,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Skewness,0.7299281912688926,0.29993071686894524,1.2831252609962165,0.03817150206444201,0.2672005144510941,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Mean,0.2703722004400022,0.6644128609033743,-1.2971331775957993,0.08896126678235594,0.3113644337382458,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Median,0.1564404493837712,0.6793594715493221,-2.1185615687227712,0.06845401052370649,0.3113644337382458,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_90Percentile,0.36455374291534887,0.7208292157317386,-0.9835259718876315,0.14177111023644562,0.34783961489297716,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Energy,0.3344887727054899,0.6313362993282532,-0.9164509158681848,0.21674055070937556,0.34783961489297716,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_InterquartileRange,0.3695595060863472,0.6671966678343113,-0.8523053992532215,0.209921465363389,0.34783961489297716,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RobustMeanAbsoluteDeviation,0.4811983077803783,0.7778851585968329,-0.6929256127223824,0.2236111810026282,0.34783961489297716,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_TotalEnergy,0.3344887727054898,0.631336299328253,-0.9164509158681848,0.216740550709376,0.34783961489297716,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_RootMeanSquared,0.3816512767200616,0.6618503146893693,-0.7942499537850233,0.25539236864534626,0.3575493161034847,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_MeanAbsoluteDeviation,0.5365508391763498,0.6719684951870406,-0.32467871929543834,0.5910671417542503,0.7522672713235914,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Maximum,0.6533604152830073,0.5795553454168723,0.172932609896808,0.7304375473918249,0.7866250510373498,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Range,0.6533604152830073,0.5795553454168723,0.172932609896808,0.7304375473918249,0.7866250510373498,r_hippocampus,male_P45_nrxn,male_P45_control
original_firstorder_Variance,0.49210765450576577,0.4710287037980619,0.06315897885737719,0.9353173613010786,0.9353173613010786,r_hippocampus,male_P45_nrxn,male_P45_control
