,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.17235471994533214,0.6943625048296287,-2.0103082376500985,0.005461646018314267,0.2413615234661839,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,0.25971179657593435,0.7815542682280873,-1.589434506790164,0.0054854891696859975,0.2413615234661839,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_10Percentile,0.6406178578793478,0.3364613257018671,0.9290233304245854,0.07916590251396283,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceVariance,0.8424989464486075,0.42129311291849375,0.9998505505324345,0.033460297959523724,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceEntropy,0.841582304962067,0.4189051564293834,1.0064807280856527,0.034087334836818584,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumEntropy,0.31599041379969606,0.6628285300062486,-1.0687549095217634,0.0814782902269102,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterTendency,0.3963519630248946,0.8006673941436787,-1.0144209343323842,0.0408530483934641,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterProminence,0.41374517946518896,0.8085252691162573,-0.9665503602304959,0.04995362299985741,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Variance,0.38854344070556435,0.6966847153312746,-0.8424300054324422,0.0746776634681502,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_DependenceEntropy,0.46711042619163123,0.8197304182095693,-0.8113858864703027,0.0740649004904101,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RootMeanSquared,0.4270688161117145,0.7338301600460028,-0.7809776413168528,0.08040147298339455,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_RobustMeanAbsoluteDeviation,0.37351710073916566,0.7134309970920427,-0.9335996038076799,0.051907489928271315,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_TotalEnergy,0.388932642332379,0.6969508078166019,-0.841536509043648,0.07490879192259842,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc1,0.8467894921247651,0.42613815748388095,0.9906821270964137,0.03360965484880347,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_MeanAbsoluteDeviation,0.3992850136889542,0.7223775434635955,-0.855334119976682,0.06374414893124461,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Kurtosis,0.7401484872174021,0.3341841619328505,1.1471713695425192,0.057064413474164265,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Energy,0.38893264233237956,0.6969508078166021,-0.8415365090436465,0.0749087919225988,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_InterquartileRange,0.3741995348893395,0.7127492277119503,-0.9295868055703681,0.05304064285922731,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.693254419332983,0.23776440655479547,1.543852149022838,0.04411916475260952,0.3773731336825314,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_JointAverage,0.559587213384031,0.22307970532377225,1.3268037268031794,0.135290048280949,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelVariance,0.437151903765141,0.774852812591098,-0.8257876069728245,0.1737763340503346,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_GrayLevelNonUniformity,0.562848096234859,0.2251471874089077,1.3218771590405738,0.17377633405033066,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,0.517897864301796,0.1927999610289234,1.4255628491675048,0.14902827739909769,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MCC,0.09458175469232644,0.4465451203354009,-2.2391721449827413,0.09820783952799915,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_ShortRunEmphasis,0.5229615820646742,0.15920807651962293,1.715791442042853,0.12471486176225022,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumSquares,0.49042763354376007,0.8286104231986429,-0.7566536971364164,0.1291598654080493,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_GrayLevelNonUniformity,0.4785915320430023,0.210281327923704,1.1864741201337796,0.2090608227888045,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunEntropy,0.47366113722048375,0.8069148624479098,-0.7685611557931974,0.10621981160717724,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_InverseVariance,0.4788741633002491,0.21601232052314573,1.1485329993554318,0.21965676010527574,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_LongRunEmphasis,0.4877943206644979,0.8533224680163892,-0.8068180736442327,0.11086516846589285,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_SumAverage,0.5595872133840238,0.2230797053237623,1.3268037268032253,0.13529004828095056,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunLengthNonUniformity,0.4891503769555534,0.21927181699372192,1.1575576592608747,0.21918026143902497,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Id,0.5211258366997562,0.7839876794768571,-0.5891991989059683,0.21965676010527915,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idn,0.5211258366997562,0.7839876794768657,-0.5891991989059842,0.21965676010526655,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_90Percentile,0.42342788177779545,0.7297128354366674,-0.7852125598584864,0.08964595592577976,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Entropy,0.437254346898591,0.775002086404902,-0.8257274677571171,0.1737087363959678,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Maximum,0.33062166608303667,0.6780788903772408,-1.0362718624906784,0.16005958095260273,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LowGrayLevelEmphasis,0.3999999999999986,0.7210958904109617,-0.8501911199678724,0.19550883791774387,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_HighGrayLevelEmphasis,0.5999999999999979,0.27890410958903544,1.1051933084128647,0.19550883791774767,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_firstorder_Uniformity,0.5628480962348661,0.2251471874089077,1.321877159040592,0.17377633405032447,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Imc2,0.10468611006950135,0.44269996287227203,-2.0802592166983884,0.11817857050394735,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Autocorrelation,0.5331718693117891,0.23551877969444063,1.178758562965319,0.20770683963758052,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunVariance,0.5018691439041056,0.8225461572716467,-0.7127853895783619,0.17598055939931614,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Contrast,0.4788741633002491,0.21601232052314573,1.1485329993554318,0.21965676010527574,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Correlation,0.47047532621933913,0.8058094351753639,-0.7763196343073473,0.10518186358566485,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_DifferenceAverage,0.4788741633002491,0.21601232052314573,1.1485329993554318,0.21965676010527574,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glrlm_RunPercentage,0.47946353730092284,0.21631740709695607,1.1482713400945885,0.21847944497102081,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idm,0.5211258366997562,0.7839876794768571,-0.5891991989059683,0.21965676010527915,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_Idmn,0.5211258366997669,0.7839876794768657,-0.5891991989059545,0.21965676010529817,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_ClusterShade,0.45395202895922226,0.7544720518582543,-0.7329276096901486,0.20748417660938523,0.3865958977853247,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_glcm_MaximumProbability,0.5021535824857075,0.2199782624750867,1.190767708096099,0.2303842767084387,0.39752581079103144,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLH_gldm_LargeDependenceEmphasis,0.5318150722922748,0.780961801575268,-0.5543273194298947,0.24817003932751222,0.4199800665542514,r_hippocampus,male_P45_nrxn,male_P45_control
