,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-HLL_firstorder_Kurtosis,0.6549468802278314,0.1187763926227885,2.463129778862959,0.006119164240630312,0.5384864531754675,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Skewness,0.6980849874788577,0.24867619275879074,1.4891342897750928,0.013666084484644193,0.6013077173243445,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_10Percentile,0.3516366656765997,0.13276837431981922,1.4051739753808796,0.3086621106006255,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointAverage,0.7844195084459269,0.495842218574942,0.6617443004948184,0.17471981448819196,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_JointEntropy,0.37953981162655204,0.23308607239847987,0.7033884226796853,0.4888566774982087,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_MCC,0.585445378143588,0.7398687530252291,-0.3377347964902083,0.47204571146514174,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_SumAverage,0.784419508445926,0.4958422185749427,0.6617443004948148,0.1747198144881935,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_GrayLevelNonUniformity,0.4066312470543385,0.25791022663073254,0.6568521016222397,0.48376001479573516,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.6963363448536342,0.3683026668162711,0.918892482380183,0.1597421647758728,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunEmphasis,0.6130642585317313,0.7622061477668204,-0.3141429462230813,0.49148170511761835,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.39190888025654663,0.6402736424130415,-0.7081703577040013,0.22262123831252595,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.30366365514637117,0.6316973331837289,-1.056759235898891,0.1597421647758782,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunEntropy,0.5886218696049688,0.7412432904229906,-0.33260599571005234,0.47144172174863197,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformity,0.4203563989344741,0.26817449588952547,0.6484409952802951,0.47265260175246215,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.42932028154735247,0.26415590666736755,0.7006646591621715,0.43942655436830913,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_RunPercentage,0.40504476584021987,0.2562499999999991,0.6605293598894303,0.4839518680860142,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunEmphasis,0.4305775772644429,0.2383202479347986,0.8533716621507331,0.3903674095996545,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.5558331409606614,0.32785861390326243,0.7615780566505814,0.2928195804946975,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.32266126894829983,0.16744075701892092,0.946369673190672,0.4794677934920166,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_GrayLevelVariance,0.6773387310517003,0.8325592429810793,-0.29767544149152037,0.4794677934920165,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.5891379626897868,0.4066400608840722,0.5348531680264638,0.4811362786179615,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceEntropy,0.5843800687077545,0.7527909723975064,-0.36534235374338603,0.4098070580725358,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformity,0.40700228725687837,0.2643169816305681,0.6227677850212472,0.49766221361943574,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.4070022872568786,0.2643169816305676,0.6227677850212507,0.4976622136194334,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_DependenceVariance,0.5866648218679984,0.7288795048139001,-0.3131438477966698,0.4934213543278717,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_HighGrayLevelEmphasis,0.783665835411469,0.4839567747298414,0.6953604059062581,0.15864335535996646,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceEmphasis,0.5935167107663062,0.7397585223623702,-0.3177657617778703,0.48854361179473527,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.27272692118109787,0.5527464005890227,-1.0191606081017346,0.18813398953272492,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_LowGrayLevelEmphasis,0.21633416458852883,0.5160432252701582,-1.2542303940003479,0.15864335535996413,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_InverseVariance,0.40562198844309205,0.25698813934131143,0.6584340849072182,0.4844696592573079,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc2,0.5845622372542965,0.7363693592543117,-0.33307296258744157,0.47910072933776326,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.8358255206957153,0.5143833456878018,0.7003578769507443,0.18178146170925458,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Idn,0.5943780115569055,0.7430118606586887,-0.3220044948639675,0.48446965925729957,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_90Percentile,0.5883817010362609,0.8226647512051282,-0.48355225078415215,0.26111942486069134,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Energy,0.6413451387839528,0.8334189771638802,-0.37794100127055513,0.3924026216637575,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_InterquartileRange,0.5649369407672359,0.8570301025474623,-0.6012560384088181,0.16574024650370442,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Maximum,0.5887199301199846,0.3574537579708548,0.7198248488618002,0.3669985717068069,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.5953550738848401,0.8541110854761642,-0.5206733601983377,0.2183283664593979,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Mean,0.7510642473603822,0.485058516618665,0.6307775216686986,0.1730725674625664,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_firstorder_Median,0.8500871086804677,0.5949430524789137,0.5148591009201966,0.23997946085963967,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-HLL_glcm_Imc1,0.4143219051434677,0.23273596663285315,0.8320579177394031,0.4053407554954532,0.7683206105001815,r_hippocampus,male_P45_nrxn,male_P45_control
