,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LHH_firstorder_Energy,0.29543498753826636,0.8301425489013752,-1.4905184012488,0.01052420331010945,0.24517402986006545,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_RootMeanSquared,0.31667653610537616,0.8437299139586024,-1.4137712763163643,0.01114427408454843,0.24517402986006545,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_Variance,0.29529515371660703,0.830104546626224,-1.491135366934037,0.010520534879401104,0.24517402986006545,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_TotalEnergy,0.2954349875382665,0.8301425489013756,-1.4905184012488,0.010524203310109444,0.24517402986006545,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_90Percentile,0.32173557278839393,0.819361831492923,-1.3486252322006902,0.01722944971876661,0.30323831505029236,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.3531706974165686,0.8244669346997299,-1.2230959879433239,0.021665038752706416,0.3177539017063608,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_firstorder_10Percentile,0.634427424506565,0.20096725833862142,1.6584946598939516,0.04468494496674131,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Imc1,0.7127426585907347,0.36287827119068305,0.9738956019747773,0.11524540505614216,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_InverseVariance,0.7129906630866927,0.42994607649286254,0.729727454637995,0.20820058216769136,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_JointAverage,0.8220376353342438,0.4930492859465915,0.7374725785269914,0.13745970532342464,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumAverage,0.8220376353342367,0.4930492859465829,0.7374725785270039,0.13745970532341645,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_SumSquares,0.22920428826984107,0.5668844142427361,-1.3064205683842502,0.1441626985343961,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelNonUniformity,0.7030890251852355,0.41362869628055277,0.765371096170461,0.18917466031283664,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_GrayLevelVariance,0.4019859280234641,0.7777179705619346,-0.9521020761134126,0.10893323813908676,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.6473960051867422,0.3178590630807207,1.0262612388758499,0.16845824283798386,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LongRunEmphasis,0.2660773197303179,0.6775949844595359,-1.3485776547695163,0.06372603878442006,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.35260399481325777,0.6821409369192907,-0.9520210250959364,0.1684582428379591,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glcm_Idn,0.287009336913286,0.5700539235071233,-0.9900007245422691,0.2082005821676768,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunEntropy,0.24190056049144815,0.5699807937123069,-1.2364991944075203,0.14217897921878053,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunPercentage,0.7058201058201092,0.41883597883598045,0.7529151490244367,0.1968811116522906,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_RunVariance,0.31238934052017964,0.7122713468082494,-1.1890817287645448,0.08117041346453585,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_glrlm_ShortRunEmphasis,0.7486898379429014,0.43036177297524886,0.7988182369795717,0.1731115976890266,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelNonUniformity,0.743768565155591,0.37399586723491896,0.9918314467747018,0.07369816992594329,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_GrayLevelVariance,0.256231434844409,0.6260041327651151,-1.2887247031395772,0.07369816992592611,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LHH_gldm_HighGrayLevelEmphasis,0.795880149812735,0.44044943820224347,0.853574781076076,0.08080970369770885,0.3592480633482794,r_hippocampus,male_P45_nrxn,male_P45_control
