,binWidth_1_vISO_male_P45_nrxn,binWidth_1_vISO_male_P45_control,L2FC,p_val,fdr_bh_adjusted_p_val,roi,animal_1,animal_2
wavelet-LLL_glcm_Idmn,0.33114274955429934,0.893802634165435,-1.4325030261284233,0.00676676571741026,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_GrayLevelNonUniformity,0.2777983691623425,0.8085295177373603,-1.5412623145800115,0.015489356665498914,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_Idn,0.28014494038583937,0.7816679826394684,-1.4803825090313194,0.011964452449910751,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_SizeZoneNonUniformity,0.14124413810468012,0.5330363129630088,-1.9160428253307389,0.05312169271017752,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_InverseVariance,0.777013097312591,0.3486884984948199,1.1560001393268726,0.043427486039796695,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointAverage,0.2287072273159525,0.6788068789167504,-1.569499228297551,0.05304327143286947,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEnergy,0.17461210135301675,0.6204831510193525,-1.8292384877938361,0.04715784755287565,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_JointEntropy,0.8442346676796793,0.3980802859072605,1.0845846466409523,0.04484012775299749,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.448385423970467,0.03391850947315615,3.7245947019337233,0.04716047053633407,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_MaximumProbability,0.21971069426135398,0.6669226188826787,-1.6019142857327229,0.047342637481161916,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumAverage,0.22870722731595206,0.6788068789167502,-1.5694992282975535,0.05304327143286952,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumEntropy,0.8588079554693445,0.408859036869781,1.0707320273993626,0.045801464477732354,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glcm_SumSquares,0.8365877562194952,0.3750428697480922,1.1574613696349967,0.045895299558614974,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glrlm_GrayLevelNonUniformity,0.7536891123592966,0.3199588797618266,1.236083046130305,0.047105153705467445,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.49648091130506844,0.10960954295477783,2.1793648407133324,0.051310071194705854,0.1111381377330943,r_hippocampus,male_P45_nrxn,male_P45_control
