,feature_name,case,control,L2FC,p_val,fdr_bh_adjusted_p_val,image_type,param_type,roi,transformation_type,feature_class,feature_type,fdr_bh_significance_alpha_0.05
0,original_firstorder_10Percentile,0.481212077074609,0.1108273429796346,2.1183589880057774,0.07098543227674559,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,10Percentile,False
1,original_firstorder_90Percentile,0.5543255786968246,0.17618114476097385,1.6536740480431829,0.06145536469671059,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,90Percentile,False
2,original_firstorder_Energy,0.4516110572364616,0.09934733690281523,2.184527609129087,0.08887376218777439,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,Energy,False
3,original_firstorder_Entropy,0.6655710279217244,0.3162614376288838,1.073474978854469,0.1650323990868799,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,Entropy,False
4,original_firstorder_InterquartileRange,0.5765611485932776,0.26523991227541155,1.120175741567238,0.14968303225838936,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,InterquartileRange,False
5,original_firstorder_Kurtosis,0.4428064131970129,0.7285756299079297,-0.7184026223225587,0.2512124969587621,0.36844499553951776,ODI,binWidth_0_05,r_amygdala,original,firstorder,Kurtosis,False
6,original_firstorder_Maximum,0.4787422000296094,0.3446333689686779,0.474186585315089,0.5688000631930763,0.6500572150778015,ODI,binWidth_0_05,r_amygdala,original,firstorder,Maximum,False
7,original_firstorder_MeanAbsoluteDeviation,0.6454012000791546,0.2893329989103039,1.1574653859965285,0.13757318298002028,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,MeanAbsoluteDeviation,False
8,original_firstorder_Mean,0.4984662808804204,0.12877599906740314,1.9526321829603228,0.06907011147254875,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,Mean,False
9,original_firstorder_Median,0.4709383295122613,0.10745837443207597,2.1317602288108617,0.08136266619697083,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,Median,False
10,original_firstorder_Minimum,0.4250675225679338,0.03243350884800072,3.712135016975141,0.08048993410945864,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,Minimum,False
11,original_firstorder_Range,0.2774075288416426,0.3639002808224739,-0.3915362215671816,0.6838114133068893,0.7429062268025465,ODI,binWidth_0_05,r_amygdala,original,firstorder,Range,False
12,original_firstorder_RobustMeanAbsoluteDeviation,0.5954534601944387,0.2489705477069164,1.2580136665684165,0.12076502892894403,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,RobustMeanAbsoluteDeviation,False
13,original_firstorder_RootMeanSquared,0.5080324881617968,0.13963848324952505,1.8632241672674676,0.06877710451980068,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,RootMeanSquared,False
14,original_firstorder_Skewness,0.5323991095154057,0.7441632452142808,-0.4831109782069162,0.3519389966512744,0.46224823440764395,ODI,binWidth_0_05,r_amygdala,original,firstorder,Skewness,False
15,original_firstorder_TotalEnergy,0.4516110572364615,0.09934733690281523,2.1845276091290864,0.08887376218777439,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,TotalEnergy,False
16,original_firstorder_Uniformity,0.33993703716083795,0.6720170899134867,-0.983230365919954,0.15424432418654466,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,Uniformity,False
17,original_firstorder_Variance,0.6588785104319848,0.3056106448784658,1.1083176780079895,0.1612890372319644,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,firstorder,Variance,False
18,original_glcm_Autocorrelation,0.6931728037519105,0.2840369663820921,1.2871363487918424,0.04918352237855975,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,Autocorrelation,False
19,original_glcm_ClusterProminence,0.5535142444653459,0.3225142368295835,0.7792575974554415,0.35744858576859884,0.4625805227593632,ODI,binWidth_0_05,r_amygdala,original,glcm,ClusterProminence,False
20,original_glcm_ClusterShade,0.36824047837547336,0.3715484433055762,-0.012902102930810427,0.9899577218357798,0.9899577218357798,ODI,binWidth_0_05,r_amygdala,original,glcm,ClusterShade,False
21,original_glcm_ClusterTendency,0.6701784801204493,0.3195817478916216,1.0683603466656335,0.1644610417576334,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,ClusterTendency,False
22,original_glcm_Contrast,0.5934415607234673,0.2344141254149723,1.3400464603362228,0.14497956062434886,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,Contrast,False
23,original_glcm_Correlation,0.4606774339988831,0.3720420715770823,0.3082911555199451,0.6774394195633304,0.7429062268025465,ODI,binWidth_0_05,r_amygdala,original,glcm,Correlation,False
24,original_glcm_DifferenceAverage,0.5986294330474217,0.2544896459974676,1.2340562532013517,0.14931678564786122,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,DifferenceAverage,False
25,original_glcm_DifferenceEntropy,0.6396376393463994,0.2666062005178033,1.2625445025252948,0.13028086710081233,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,DifferenceEntropy,False
26,original_glcm_DifferenceVariance,0.6318763481114302,0.25523267318651105,1.307829239883213,0.15385866116965424,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,DifferenceVariance,False
27,original_glcm_Id,0.3909159994647451,0.706056295780505,-0.8529245854048878,0.18785002112307164,0.3223119513680236,ODI,binWidth_0_05,r_amygdala,original,glcm,Id,False
28,original_glcm_Idm,0.3912214476736979,0.7146316189515499,-0.8692142831593351,0.1737921429248164,0.3205291072021101,ODI,binWidth_0_05,r_amygdala,original,glcm,Idm,False
